"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage"
"331","F113",0,"FB90","Female","1996","no"
"332","F114",0,NA,"Male","1988","no"
"333","F115",0,NA,"Female","1967","no"
"334","F116",0,NA,"Male","1961","no"
"335","F117",0,"FB25","Female","1993","no"
"336","F118",1,"FB54","Male","1992","no"
"337","F119",0,"FB37","Female","1991","no"
"338","F120",0,NA,"Male",NA,"no"
"339","F122",0,"FB90","Male","1991","no"
"340","F123",0,"FB15","Female","1998","no"
"341","F125",1,"F119","Female","1998","no"
"342","F126",0,"F129","Male","<1988","no"
"343","F127",0,"FB13","Female","1995","no"
"344","F128",1,"F153","Male","1992","no"
"345","F130",0,NA,"Male","1982","no"
"346","F131",0,"FB59","Female","1988","no"
"347","F132",0,NA,"Male","1983","no"
"348","F133",1,"FB90","Female","1999","no"
"349","F134",0,NA,"Male","1982","no"
"350","F135",1,"FB54","Female","2000","no"
"351","F136",0,NA,"Male","1981","no"
"352","F137",1,"F157","Female","2000","no"
"353","F138",1,"FB63","Male","1992","no"
"354","F139",0,"FB01","Female","2000","no"
"355","F141",0,NA,"Female","1990","no"
"356","F142",1,NA,"Male","1992","no"
"357","F144",0,"F111","Male","1995","no"
"358","F146",1,"FB11","Male","1996","no"
"359","F147",0,NA,"Female",NA,"no"
"360","F148",1,"FB54","Male","1996","no"
"361","F149",1,NA,"Female","1981","no"
"362","F150",0,"F153","Male","1985","no"
"363","F151",0,"F141","Female","2000","no"
"364","F152",0,"F163","Male","1996","no"
"365","F153",1,NA,"Female","1953","no"
"366","F154",0,NA,"Male","1963","no"
"367","F155",1,"FB05","Female","1990","yes"
"368","F156",1,NA,"Male","1970","no"
"369","F157",0,NA,"Female","<1988","no"
"370","F158",0,"F157","Male","1985","no"
"371","F159",1,"F131","Female","1996","no"
"372","F160",0,NA,"Male","1979","no"
"373","F161",0,NA,"Female",NA,"no"
"374","F162",1,NA,"Male","1981","no"
"375","F163",0,NA,"Female","1971","no"
"376","F164",1,"F161","Male","1989","no"
"377","F165",1,"FB75","Female","1999","no"
"378","F166",0,"F115","Male","1994","no"
"379","F167",0,NA,"Female","1989","no"
"380","F169",0,NA,"Female","1999","no"
"381","F171",1,"F167","Female","1998","no"
"382","F172",0,NA,"Male",NA,"no"
"383","F173",1,"FB33","Male","2002","no"
"384","F174",0,NA,"Male","1964","no"
"385","F175",1,"FB75","Female","1991","no"
"386","F176",1,NA,"Male","1993","no"
"387","F177",0,"FB09","Female","2002","no"
"388","F178",1,"FB09","Male","1995","no"
"389","F179",1,"FB11","Female","2002","no"
"390","F180",0,NA,"Male","1988","no"
"391","F181",0,NA,"Female","1975","no"
"392","F182",0,"F183","Male","1987","no"
