"","Date","Year","Code","StartLon","StartLat","DiffHI","HAB_time"
"84036","2012-12-07",2012,"F148",-82.68312,27.47877,"SD",2
"84037","2012-12-07",2012,"F165",-82.68312,27.47877,"SD",2
"84038","2012-12-07",2012,"F222",-82.68312,27.47877,"SD",2
"84191","2013-01-14",2013,"1651",-82.69975,27.50844,"SD",2
"84192","2013-01-14",2013,"F148",-82.69975,27.50844,"SD",2
"84193","2013-01-14",2013,"F165",-82.69975,27.50844,"SD",2
"84194","2013-01-14",2013,"F222",-82.69975,27.50844,"SD",2
"84695","2013-03-15",2013,"F241",-82.55005,27.31823,"SD",2
"84696","2013-03-15",2013,"FB78",-82.55005,27.31823,"SD",2
"84737","2013-03-19",2013,"F137",-82.62914,27.5476,"SD",2
"84738","2013-03-19",2013,"F235",-82.62914,27.5476,"SD",2
"84821","2013-03-22",2013,"F252",-82.50204,27.1977,"FG",2
"84996","2013-04-02",2013,"SCS2",-82.45393,27.07565,"SD",2
"85020","2013-04-08",2013,"F232",-82.68678,27.44449,"SD",2
"85021","2013-04-08",2013,"F232",-82.68678,27.44449,"SD",2
"85108","2013-04-17",2013,"SCS2",-82.45258,27.07139,"SD",2
"85109","2013-04-17",2013,"SCSM",-82.45258,27.07139,"SD",2
"85548","2013-05-20",2013,"SCS2",-82.45425,27.07407,"SD",2
"85784","2013-05-22",2013,"F241",-82.57627,27.33074,"SD",2
"85932","2013-06-01",2013,"FB78",-82.55994,27.32938,"SD",2
"86336","2013-06-13",2013,"F205",-82.64407,27.47309,"FG",2
"87813","2013-08-14",2013,"C655",-82.72754,27.53311,"SD",2
"87815","2013-08-14",2013,"FB65",-82.72754,27.53311,"SD",2
"87841","2013-08-20",2013,"FB35",-82.47021,27.11335,"SD",2
"88017","2013-09-04",2013,"F155",-82.64446,27.47422,"FG",2
"88605","2013-10-01",2013,"F228",-82.72968,27.53509,"SD",2
"88630","2013-10-02",2013,"LNLD",-82.47205,27.11243,"SD",2
"88633","2013-10-02",2013,"SCS2",-82.47205,27.11243,"SD",2
"88832","2013-10-10",2013,"TDTC",-82.59609,27.55285,"FG",2
"88951","2013-11-07",2013,"F241",-82.66618,27.44156,"SD",2
"88952","2013-11-07",2013,"F227",-82.66618,27.44156,"FG",2
"88959","2013-11-07",2013,"C330",-82.67227,27.44566,"FG",2
"88960","2013-11-07",2013,"F227",-82.67227,27.44566,"FG",2
"88961","2013-11-07",2013,"FB33",-82.67227,27.44566,"FG",2
