"","id","sex"
"253","DAF2",1
"254","DAFT",0
"255","DAIN",0
"256","DBHN",1
"257","DEDO",0
"258","DIGT",0
"259","DIL1",1
"260","DILL",0
"261","DIPT",0
"262","DMDI",1
"263","DRAC",0
"264","DRAY",0
"265","DRBY",1
"266","DRM1",1
"267","DRMS",0
"268","DRSN",0
"269","DTHB",1
"270","DUDE",0
"271","EAS1",1
"272","EASY",0
"273","EFHT",1
"274","ELFF",0
"275","ELIP",1
"276","EQDT",1
"277","ETMA",0
"278","F100",0
"279","F101",0
"280","F102",0
"281","F105",0
"282","F106",0
"283","F108",0
"284","F109",0
"285","F110",0
"286","F111",0
"287","F113",0
"288","F114",0
"289","F115",0
"290","F117",0
"291","F118",0
"292","F119",0
"293","F120",0
"294","F123",0
"295","F125",0
"296","F126",0
"297","F127",0
"298","F128",0
"299","F130",0
"300","F131",0
"301","F132",0
"302","F133",0
"303","F134",0
"304","F135",0
"305","F136",0
"306","F137",0
"307","F138",0
"308","F139",0
"309","F141",0
"310","F142",0
"311","F144",0
"312","F146",0
"313","F147",0
"314","F148",0
"315","F149",0
"316","F151",0
"317","F152",0
"318","F153",0
"319","F154",0
"320","F155",0
"321","F157",0
"322","F158",0
"323","F159",0
"324","F160",0
"325","F161",0
"326","F162",0
"327","F163",0
"328","F164",0
"329","F165",0
"330","F166",0
"331","F167",0
"332","F169",0
"333","F171",0
"334","F172",0
"335","F173",0
"336","F174",0
"337","F175",0
"338","F176",0
"339","F177",0
"340","F178",0
"341","F179",0
"342","F180",0
"343","F181",0
"344","F182",0
"345","F183",0
"346","F184",0
"347","F185",0
"348","F186",0
"349","F187",0
"350","F188",0
"351","F189",0
"352","F190",0
"353","F191",0
"354","F192",0
"355","F193",0
"356","F194",0
"357","F195",0
"358","F196",0
"359","F197",0
"360","F198",0
"361","F199",0
"362","F200",0
"363","F201",0
"364","F202",0
"365","F203",0
"366","F205",0
"367","F207",0
"368","F209",0
"369","F210",0
"370","F211",0
"371","F212",0
"372","F213",0
"373","F214",0
"374","F215",0
"375","F216",0
"376","F217",0
"377","F218",0
"378","F219",0
"379","F220",0
"380","F221",0
"381","F222",0
"382","F223",0
"383","F224",0
"384","F225",0
"385","F226",0
"386","F227",0
"387","F228",0
"388","F229",0
"389","F230",0
"390","F231",0
"391","F232",0
"392","F233",0
"393","F234",0
"394","F235",0
"395","F236",0
"396","F237",0
"397","F238",0
"398","F239",0
"399","F240",0
"400","F241",0
"401","F242",0
"402","F243",0
"403","F244",0
"404","F245",0
"405","F246",0
"406","F247",0
"407","F248",0
"408","F249",0
"409","F250",0
"410","F252",0
"411","F254",0
"412","F256",0
"413","F258",0
"414","F260",0
"415","F262",0
"416","F264",0
