IndividualsFID,Alias,Sex,BirthYear,DeathYear,Mom,FirstSighted,FirstSighted_Begin1993,LastSighted_End2014,HI_Indiv,Year_Confirmed,First_HI_Type,HI_Injury,Year_of_Injury,Injury_Type
2294,C073,NA,1996,1996,FB07,28-May-96,28-May-96,26-Aug-96,0,NA,NA,0,NA,NA
3371,C075,NA,2002,2002,FB07,28-Jun-02,28-Jun-02,02-Jul-02,0,NA,NA,0,NA,NA
3829,C076,NA,2005,2006,FB07,23-Sep-05,23-Sep-05,15-Sep-06,0,NA,NA,0,NA,NA
3971,C077,NA,2007,2007,FB07,06-Jul-07,06-Jul-07,06-Jul-07,0,NA,NA,0,NA,NA
2130,C091,NA,1994,1994,FB09,12-Jul-94,12-Jul-94,12-Jul-94,0,NA,NA,0,NA,NA
4050,C096,NA,2009,2009,FB09,28-May-09,28-May-09,02-Jun-09,0,NA,NA,0,NA,NA
4887,C114,Male,2012,NA,FB11,28-Jun-12,28-Jun-12,11-Dec-14,1,2014,A,0,NA,NA
1919,C173,Male,1993,1993,FB17,18-May-93,18-May-93,18-Jun-93,0,NA,NA,0,NA,NA
2989,C254,Male,1999,1999,FB25,01-Jun-99,01-Jun-99,21-Aug-99,0,NA,NA,0,NA,NA
3345,C255,Male,2002,NA,FB25,24-May-02,24-May-02,13-Jul-06,0,NA,NA,0,NA,NA
4850,C258,Male,2011,NA,FB25,19-Jun-11,19-Jun-11,26-Dec-14,0,NA,NA,0,NA,NA
5493,C259,NA,2014,2014,FB25,19-May-14,19-May-14,19-May-14,0,NA,NA,0,NA,NA
2565,C272,NA,1997,1997,FB27,05-Jun-97,05-Jun-97,12-Nov-97,0,NA,NA,0,NA,NA
2986,C273,NA,1999,NA,FB27,13-May-99,13-May-99,25-Apr-02,0,NA,NA,0,NA,NA
3815,C275,NA,2005,NA,FB27,14-Jun-05,14-Jun-05,16-Dec-08,0,NA,NA,0,NA,NA
4012,C276,NA,2008,NA,FB27,09-Jun-08,09-Jun-08,27-Oct-11,0,NA,NA,0,NA,NA
2308,C295,NA,1996,1996,FB29,25-Jun-96,25-Jun-96,08-Aug-96,0,NA,NA,0,NA,NA
2902,C296,NA,1998,1998,FB29,29-Jun-98,29-Jun-98,30-Jun-98,0,NA,NA,0,NA,NA
5065,C330,Female,2013,NA,FB33,17-Jun-13,17-Jun-13,11-Dec-14,1,2013,P,0,NA,NA
1745,C333,Female,1992,1993,FB33,09-Jul-92,05-Feb-93,17-Nov-93,0,NA,NA,1,1993,entanglement
3026,C335,Female,2000,2000,FB33,31-May-00,31-May-00,31-May-00,0,NA,NA,0,NA,NA
3158,C336,Female,2001,2001,FB33,05-Jul-01,05-Jul-01,17-Jul-01,0,NA,NA,0,NA,NA
