"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.ASOC.Sex","CONS.ASOC.Age","CONS.SOCIAL.Sex","CONS.SOCIAL.Age","CONS.A.S.Sex","CONS.A.S.Age","OFFs1","OFFs2","OFFs3","OFFASOC.Sex","OFFASOC.Age","OFFSOCIAL.Sex","OFFSOCIAL.Age","OFFA.S.Sex","OFFA.S.Age","convergence","loglik","s1","s2","s3","ASOCIALSex","ASOCIALAge","SOCIALSex","SOCIALAge","SEs1","SEs2","SEs3","SEasocialSex","SEasocialAge","SEsocialSex","SEsocialAge","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"94",94,"additive","1:0:2",NA,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.454700561222,0.717832122760103,0,0,-0.618107363575506,0,0,0,0.930727813822277,0,0.0161582909592657,0.265218361675559,0,0,0,624.909401122445,625.262342298915,46.4237605966725,8.30249211536416e-11,1.63105135131585e-11
"22",22,"unconstrained","1:2:0",NA,1,2,0,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,FALSE,307.470484201668,0.124964074023355,0.00807761886503875,0,-0.606130090747168,0.0114192379465197,0,0.0128479088367934,0.0865279725994528,0.00999259888565627,0,0.266848571182484,0.0122771364066115,0,0.0122813487994488,624.940968403335,625.850059312426,47.0114776101834,6.18852776690166e-11,1.21575623759781e-11
"73",73,"unconstrained","0:0:1",NA,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.95279825447,0,0,0,-0.624805615216397,0,0.0325002509070177,0,0,0,NA,0.238269479696761,0,NA,0,625.905596508939,626.25853768541,47.4199559831673,5.04530461391188e-11,9.91166362337476e-12
"72",72,"unconstrained","0:0:1",NA,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.95279825447,0,0,0.193006245874468,-0.624805615045948,0,0,-0.0254553911458232,0,0,NA,NA,0,0,NA,625.90559650894,626.25853768541,47.4199559831674,5.04530461391159e-11,9.9116636233742e-12
"65",65,"asocial","0:0:0",NA,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,TRUE,312.315109102793,0,0,0,0,0.0170065440492227,NA,NA,0,0,0,0,0.01199812466947,NA,NA,626.630218205585,626.687361062728,47.8487793604852,4.07164193808627e-11,7.99887189642772e-12
"101",101,"asocial","0:0:0",NA,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,TRUE,312.315109102793,0,0,0,0,0.0170065440492227,0,NA,0,0,0,0,0.01199812466947,0,NA,626.630218205585,626.687361062728,47.8487793604852,4.07164193808627e-11,7.99887189642772e-12
"102",102,"asocial","0:0:0",NA,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,312.315109102793,0,0,0,0,0.0170065440492227,NA,0,0,0,0,0,0.01199812466947,NA,0,626.630218205585,626.687361062728,47.8487793604852,4.07164193808627e-11,7.99887189642772e-12
"123",123,"asocial","0:0:0",NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,312.315109102793,0,0,0,0,0.0170065440492227,0,0,0,0,0,0,0.01199812466947,0,0,626.630218205585,626.687361062728,47.8487793604852,4.07164193808627e-11,7.99887189642772e-12
"33",33,"unconstrained","0:0:1",NA,0,0,1,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252751,0,0,0,-0.606623846780791,0.0154469043095031,0,0,0,0,NA,NA,NA,0,NA,626.180284505503,626.777299430876,47.938717728633,3.89259939194341e-11,7.64713704046930e-12
"34",34,"unconstrained","0:0:1",NA,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252751,0,0,0,-0.606623846780791,0.0154469043095031,0,0,0,0,NA,NA,NA,NA,0,626.180284505503,626.777299430876,47.938717728633,3.89259939194341e-11,7.64713704046930e-12
"37",37,"unconstrained","0:1:0",NA,0,1,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252751,0,0.00217258403259566,0,-0.606623866989951,0.0154469050463968,0,1.32897277694396e-06,0,NA,0,NA,NA,0,NA,626.180284505503,626.777299430876,47.938717728633,3.89259939194341e-11,7.64713704046930e-12
"38",38,"unconstrained","0:1:0",NA,0,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0,0.00217258403243352,0,-0.606623866989951,0.0154469050463969,3.18184555351527e-10,0,0,NA,0,NA,NA,NA,0,626.180284505504,626.777299430877,47.9387177286339,3.89259939194164e-11,7.64713704046583e-12
"44",44,"additive","0:1:2",NA,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0,0.00218051436521892,0,-0.606623866540859,0.0154469050401191,0,0,0,NA,NA,NA,NA,0,0,626.180284505504,626.777299430877,47.9387177286339,3.89259939194164e-11,7.64713704046583e-12
"47",47,"unconstrained","1:0:0",NA,1,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0.0230837451484853,0,0,-0.606623938821296,0.0154469031267708,0,9.87223945919253e-12,NA,0,0,NA,NA,0,NA,626.180284505504,626.777299430877,47.9387177286339,3.89259939194164e-11,7.64713704046583e-12
"48",48,"unconstrained","1:0:0",NA,1,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0.0230837451484853,0,0,-0.606623938821296,0.0154469031267708,3.92521916726881e-15,0,NA,0,0,NA,NA,NA,0,626.180284505504,626.777299430877,47.9387177286339,3.89259939194164e-11,7.64713704046583e-12
"54",54,"additive","1:0:2",NA,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0.0230837451484853,0,0,-0.606623938821296,0.0154469031267708,0,0,NA,0,NA,NA,NA,0,0,626.180284505504,626.777299430877,47.9387177286339,3.89259939194164e-11,7.64713704046583e-12
"60",60,"additive","1:2:0",NA,1,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252875,0.25106893488952,1.3223131162433e-05,0,-0.606620007987768,0.0154469068197369,0,0,NA,NA,0,NA,NA,0,0,626.18028450575,626.777299431123,47.9387177288804,3.89259939146193e-11,7.64713703952342e-12
"100",100,"asocial","0:0:0",NA,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,TRUE,313.395643036764,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,626.791286073529,626.791286073529,47.9527043712858,3.8654721588876e-11,7.59384471628719e-12
"121",121,"asocial","0:0:0",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,TRUE,313.395643036764,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,626.791286073529,626.791286073529,47.9527043712858,3.8654721588876e-11,7.59384471628719e-12
"122",122,"asocial","0:0:0",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,313.395643036764,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,626.791286073529,626.791286073529,47.9527043712858,3.8654721588876e-11,7.59384471628719e-12
"128",128,"asocial","0:0:0",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,313.395643036764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626.791286073529,626.791286073529,47.9527043712858,3.8654721588876e-11,7.59384471628719e-12
"46",46,"unconstrained","1:0:0",NA,1,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,FALSE,309.392955468053,3.57592223427319e-05,0,0,-0.623609549006497,0,0.689797596468526,0.0048274516874955,0.00123868875950866,0,0,0.243195200741149,0,2.55879670335805,0.01755388103405,626.785910936107,627.38292586148,48.5443441592373,2.87560746273306e-11,5.64922359789437e-12
"53",53,"unconstrained","1:0:2",NA,1,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.408045345831,0.493672373950016,0,0,-0.624986865265288,0,0.767653667744098,0,0.580184829652148,0,NA,0.24280565024486,0,NA,0,626.816090691661,627.413105617035,48.5745239147918,2.83254065125129e-11,5.56461745784851e-12
