"","Mom","Alias","BirthYear","Depart"
"628",NA,"HPLA",1985,1991
"629",NA,"HRDM",1985,1991
"631","HSNS","HSN2",1985,1991
"632","HSNS","HSN3",2008,2014
"633","HSNS","HSN4",2012,2018
"635",NA,"HSNS",1985,1991
"636",NA,"HUCK",1985,1991
"637",NA,"HUEY",1985,1991
"638",NA,"HVMS",1985,1991
"639","F237","HWK2",2004,2010
"640","F237","HWK3",2007,2013
"641","IKNO","IKN2",1997,2003
"642","IKNO","IKNC",1985,1991
"643",NA,"IKNO",1981,1987
"644",NA,"J001",1985,1991
"645",NA,"J007",1985,1991
"646",NA,"JADE",1985,1991
"647",NA,"JAGG",1985,1991
"648",NA,"JAGR",1985,1991
"649","PNTB","JAMM",1985,1991
"650",NA,"JAWS",1985,1991
"653",NA,"JBAK",1985,1991
"654",NA,"JELY",1985,1991
"655","SCSM","JETY",1985,1991
"656","JGLD","JGL1",2008,2014
"657","JGLD","JGL2",1985,1991
"658",NA,"JGLD",1985,1991
"659",NA,"JIG3",1985,1991
"660",NA,"JOJO",1985,1991
"661","JOSE","JOSC",1997,2003
"662",NA,"JOSE",1972,1978
"663",NA,"KMBT",1985,1991
"665",NA,"KNIK",1985,1991
"666","KNNN","KNNC",1985,1991
"667",NA,"KNNN",1985,1991
"668",NA,"KNOB",1985,1991
"669",NA,"KNOR",1985,1991
"670",NA,"KNSY",1985,1991
"671",NA,"KOKO",1985,1991
"672",NA,"KRSN",1985,1991
"673",NA,"L108",1985,1991
"674",NA,"L160",1985,1991
"675",NA,"LACH",1985,1991
"676",NA,"LAT2",1985,1991
"678",NA,"LBHL",1985,1991
"679",NA,"LBLD",1985,1991
"680",NA,"LBLK",1985,1991
"681",NA,"LBLS",1985,1991
"682",NA,"LBMA",1985,1991
"683",NA,"LBMN",1985,1991
"684","LBLS","LBSC",1985,1991
"685",NA,"LBSL",1985,1991
"686","LBTY","LBT1",1985,1991
"687",NA,"LBTY",1985,1991
"688",NA,"LCDB",1985,1991
"690",NA,"LCKL",1985,1991
"691","LDBP","LDB1",1985,1991
"692",NA,"LDBP",1985,1991
"694","LDMA","LDM3",1985,1991
"695",NA,"LDMA",1985,1991
"696",NA,"LDNK",1985,1991
"698","M145","LEON",1997,2003
"699",NA,"LFLG",1985,1991
"700","MTMN","LGSC",1985,1991
"701",NA,"LHLV",1985,1991
