"","trial","id","t_weight"
"832",1,"SGDM",0
"833",1,"SGL1",0
"834",1,"SGLA",0
"835",1,"SGPP",0
"836",1,"SHBT",0
"837",1,"SHNU",0
"838",1,"SHOT",0
"839",1,"SHTC",0
"840",1,"SIM1",0
"841",1,"SIM2",0
"842",1,"SIMP",0
"843",1,"SKYE",0
"844",1,"SLIT",0
"845",1,"SLJ1",0
"846",1,"SLJY",0
"847",1,"SLLA",0
"848",1,"SMUS",0
"849",1,"SNOT",0
"850",1,"SOFA",0
"851",1,"SOGG",0
"852",1,"SOLB",0
"853",1,"SOLS",0
"854",1,"SOPO",0
"855",1,"SPAC",0
"856",1,"SPEC",0
"857",1,"SPLA",0
"858",1,"SQBT",0
"859",1,"SRDO",0
"860",1,"SRFR",0
"861",1,"SSHK",0
"862",1,"STE1",0
"863",1,"STE2",0
"864",1,"STEW",0
"865",1,"STKY",0
"866",1,"STLB",0
"867",1,"STMN",0
"868",1,"STWR",0
"869",1,"SUFL",0
"870",1,"SUMO",0
"871",1,"TABB",0
"872",1,"TAC2",0
"873",1,"TAL2",0
"874",1,"TAL3",0
"875",1,"TBEL",0
"876",1,"TBTN",0
"877",1,"TCT1",0
"878",1,"TCTV",0
"879",1,"TDT2",0
"880",1,"TDTC",0
"881",1,"TDTL",0
"882",1,"TEEN",0
"883",1,"TEKK",0
"884",1,"TELE",0
"885",1,"THAL",0
"886",1,"THNM",0
"887",1,"THRS",0
"888",1,"THTH",0
"889",1,"THUB",0
"890",1,"TIGR",0
"891",1,"TKID",0
"892",1,"TMHK",0
"893",1,"TML1",0
"894",1,"TMLT",0
"895",1,"TMSP",0
"896",1,"TNBP",0
"897",1,"TNFG",0
"898",1,"TNSC",0
"899",1,"TNSL",0
"900",1,"TONG",0
"901",1,"TOT2",0
"902",1,"TPOT",0
"903",1,"TREX",0
"904",1,"TRIF",0
"905",1,"TRIM",0
"906",1,"TRLI",0
"907",1,"TRM1",0
"908",1,"TRNO",0
"909",1,"TRTA",0
